交易序號,時間,狀態,多/空,進場價,進場量,當前均價,當前持倉量,出場價,出場量,實現損益,剩餘倉位
65,2023-11-09 22:14,開倉,1.0,37658.419799999996,0.09096950861967115,37658.419799999996,0.09096950861967115,,,,
66,2023-11-15 02:44,平倉,,,,,,35775.49880999999,0.09096950861967115,-174.5428767773346,0.0
67,2023-11-15 02:44,開倉,-1.0,35671.25545,-0.09447402858597648,35671.25545,-0.09447402858597648,,,,
68,2023-11-16 03:04,平倉,,,,,,37454.818222500006,-0.09447402858597648,-171.70186720077618,0.0
69,2023-11-16 03:04,開倉,1.0,37539.9606,0.08848817451061108,37539.9606,0.08848817451061108,,,,
70,2023-11-17 03:34,平倉,,,,,,35662.96256999999,0.08848817451061108,-169.24787969017362,0.0
71,2023-11-17 03:34,開倉,-1.0,35562.44483206523,-0.09188832322712802,35562.44483206523,-0.09188832322712802,,,,
72,2023-11-20 07:09,平倉,,,,,,37340.56707366849,-0.09188832322712802,-166.49305602798785,0.0
73,2023-11-20 07:09,開倉,1.0,37401.891599999995,0.08612050901827804,37401.891599999995,0.08612050901827804,,,,
74,2023-12-04 13:09,平倉,,,,,,41142.08076,0.08612050901827804,318.5638173467236,0.0
75,2023-12-04 13:09,開倉,1.0,41182.81932365227,0.08053569248257428,41182.81932365227,0.08053569248257428,,,,
76,2024-01-02 09:09,平倉,,,,,,45301.1012560175,0.08053569248257428,328.0203317016312,0.0
77,2024-01-02 09:09,開倉,1.0,45308.10173305177,0.0753759712842706,45308.10173305177,0.0753759712842706,,,,
78,2024-01-03 20:04,平倉,,,,,,43042.696646399185,0.0753759712842706,-174.00149382518248,0.0
79,2024-01-03 20:04,開倉,-1.0,42938.99897333353,-0.07824016563312952,42938.99897333353,-0.07824016563312952,,,,
80,2024-01-08 20:14,平倉,,,,,,45085.94892200021,-0.07824016563312952,-171.1692962619243,0.0
81,2024-01-08 20:14,開倉,1.0,45155.81876791092,0.07333582366319434,45155.81876791092,0.07333582366319434,,,,
82,2024-01-13 06:04,平倉,,,,,,42898.02782951537,0.07333582366319434,-168.72292033093814,0.0
83,2024-01-13 06:04,開倉,-1.0,42493.58789878927,-0.07666186527736908,42493.58789878927,-0.07666186527736908,,,,
84,2024-02-08 08:59,平倉,,,,,,44618.267293728735,-0.07666186527736908,-165.97664135756776,0.0
85,2024-02-08 08:59,開倉,1.0,44681.02935,0.07186672142077388,44681.02935,0.07186672142077388,,,,
86,2024-02-12 23:34,平倉,,,,,,49149.132285,0.07186672142077388,317.5757219109885,0.0
87,2024-02-12 23:34,開倉,1.0,49417.94313461568,0.06690686079375546,49417.94313461568,0.06690686079375546,,,,
88,2024-02-27 03:24,平倉,,,,,,54359.73744807725,0.06690686079375546,327.0029048159221,0.0
89,2024-02-27 03:24,開倉,1.0,54430.99508977658,0.06254799050222412,54430.99508977658,0.06254799050222412,,,,
90,2024-02-28 21:09,平倉,,,,,,59874.09459875424,0.06254799050222412,336.7099320899035,0.0
91,2024-02-28 21:09,開倉,1.0,59952.561299999994,0.058473112307526026,59952.561299999994,0.058473112307526026,,,,
92,2024-03-04 22:39,平倉,,,,,,65947.81743,0.058473112307526026,346.7051108668533,0.0
93,2024-03-04 22:39,開倉,1.0,66039.40319999999,0.0546594338248869,66039.40319999999,0.0546594338248869,,,,
94,2024-03-06 03:39,平倉,,,,,,62737.43303999999,0.0546594338248869,-183.91301202186423,0.0
95,2024-03-06 03:39,開倉,-1.0,61806.92635559089,-0.05745184899680168,61806.92635559089,-0.05745184899680168,,,,
96,2024-03-06 13:09,平倉,,,,,,64897.27267337044,-0.05745184899680168,-180.91948608683373,0.0
97,2024-03-06 13:09,開倉,1.0,64986.70988943652,0.05385981103971915,64986.70988943651,0.05385981103971915,,,,
98,2024-03-11 16:04,平倉,,,,,,71485.38087838018,0.05385981103971915,346.16700236759885,0.0
99,2024-03-11 16:04,開倉,1.0,71567.3658,0.0503591811744276,71567.3658,0.0503591811744276,,,,
100,2024-03-15 11:24,平倉,,,,,,67988.99751,0.0503591811744276,-183.6275672684104,0.0
101,2024-03-15 11:24,開倉,-1.0,67918.3073015084,-0.05220110869239029,67918.3073015084,-0.05220110869239029,,,,
102,2024-03-20 13:24,平倉,,,,,,61126.476571357554,-0.05220110869239029,350.6411421291063,0.0
103,2024-03-20 13:24,開倉,-1.0,60985.88332318053,-0.059858945860821126,60985.88332318053,-0.059858945860821126,,,,
104,2024-03-20 20:24,平倉,,,,,,64035.17748933956,-0.059858945860821126,-185.99555755954188,0.0
105,2024-03-20 20:24,開倉,1.0,64349.758799999996,0.05591903630245893,64349.758799999996,0.05591903630245893,,,,
106,2024-03-26 02:24,平倉,,,,,,70784.73468,0.05591903630245893,355.87943569093665,0.0
107,2024-03-26 05:14,開倉,-1.0,70390.1873,-0.052585317797191264,70390.1873,-0.052585317797191264,,,,
108,2024-04-14 04:09,平倉,,,,,,63351.168569999994,-0.052585317797191264,366.0773974915605,0.0
109,2024-04-14 04:09,開倉,-1.0,61386.19900134247,-0.062086572203775184,61386.19900134247,-0.062086572203775184,,,,
110,2024-04-14 06:44,平倉,,,,,,64455.508951409596,-0.062086572203775184,-194.1836295733896,0.0
111,2024-04-14 06:44,開倉,1.0,64589.417973962125,0.05816413498213313,64589.417973962125,0.05816413498213313,,,,
112,2024-04-17 22:24,平倉,,,,,,61359.94707526402,0.05816413498213313,-191.40832951692965,0.0
113,2024-04-17 22:24,開倉,-1.0,61287.24150175401,-0.060300298024886,61287.24150175401,-0.060300298024886,,,,
114,2024-04-19 14:54,平倉,,,,,,64351.60357684172,-0.060300298024886,-188.29280336524195,0.0
115,2024-04-19 14:54,開倉,1.0,64735.60982058574,0.05627227951534579,64735.60982058574,0.05627227951534579,,,,
116,2024-04-30 19:29,平倉,,,,,,61498.82932955645,0.05627227951534579,-185.60169583491776,0.0
117,2024-04-30 19:29,開倉,-1.0,61265.5519,-0.05849170620290717,61265.5519,-0.05849170620290717,,,,
118,2024-05-04 18:59,平倉,,,,,,64328.829495000005,-0.05849170620290717,-182.5806834336775,0.0
119,2024-05-04 18:59,開倉,1.0,64462.45510581291,0.05479639867089657,64462.45510581291,0.05479639867089657,,,,
120,2024-05-09 06:14,平倉,,,,,,61239.33235052226,0.05479639867089657,-179.97121433396376,0.0
121,2024-05-09 06:14,開倉,-1.0,61160.70435000001,-0.05681451043570483,61160.70435000001,-0.05681451043570483,,,,
122,2024-05-15 21:29,平倉,,,,,,64218.73956750001,-0.05681451043570483,-177.0418484791774,0.0
123,2024-05-15 21:29,開倉,1.0,64318.34309999999,0.053253127387846724,64318.34309999999,0.053253127387846724,,,,
124,2024-05-21 07:24,平倉,,,,,,70750.17741,0.053253127387846724,338.7476236376264,0.0
125,2024-05-21 07:24,開倉,1.0,70905.33494999999,0.049739952856881126,70905.33494999999,0.049739952856881126,,,,
126,2024-05-24 02:14,平倉,,,,,,67360.06820249998,0.049739952856881126,-179.6918875025472,0.0
127,2024-05-24 02:14,開倉,-1.0,67166.73958189413,-0.051653874542050775,67166.73958189413,-0.051653874542050775,,,,
128,2024-05-28 00:04,平倉,,,,,,70525.07656098883,-0.051653874542050775,-176.76706821086128,0.0
129,2024-05-28 00:04,開倉,1.0,70604.38455,0.04843660749900249,70604.38455,0.04843660749900249,,,,
130,2024-06-01 00:09,平倉,,,,,,67074.1653225,0.04843660749900249,-174.2406881268983,0.0
131,2024-06-01 00:09,開倉,-1.0,66858.87680305773,-0.05031751690854041,66858.87680305773,-0.05031751690854041,,,,
132,2024-06-03 21:49,平倉,,,,,,70201.82064321061,-0.05031751690854041,-171.40459723201596,0.0
133,2024-06-03 21:49,開倉,1.0,70332.65220562695,0.047148675981412855,70332.65220562695,0.047148675981412855,,,,
134,2024-06-11 23:34,平倉,,,,,,66816.0195953456,0.047148675981412855,-168.95485834609403,0.0
135,2024-06-11 23:44,開倉,-1.0,66084.09677800217,-0.04936310005457565,66084.09677800217,-0.04936310005457565,,,,
136,2024-06-12 21:04,平倉,,,,,,69388.30161690229,-0.04936310005457565,-166.2048041506447,0.0
137,2024-06-12 21:04,開倉,1.0,69650.38276620935,0.04616619649961345,69650.38276620935,0.04616619649961345,,,,
138,2024-06-15 00:09,平倉,,,,,,66167.86362789889,0.04616619649961345,-163.8293814471108,0.0
139,2024-06-15 00:09,開倉,-1.0,65702.3324,-0.04814372664062828,65702.3324,-0.04814372664062828,,,,
140,2024-06-25 04:29,平倉,,,,,,59132.099160000005,-0.04814372664062828,312.83604242794013,0.0
141,2024-06-25 04:29,開倉,-1.0,58853.35860000001,-0.05534024048101329,58853.35860000001,-0.05534024048101329,,,,
142,2024-06-25 22:29,平倉,,,,,,61796.02653,-0.05534024048101329,-165.9420619691027,0.0
143,2024-06-25 22:29,開倉,1.0,62084.426699999996,0.05171039288104566,62084.426699999996,0.05171039288104566,,,,
144,2024-07-04 09:54,平倉,,,,,,58980.205364999994,0.05171039288104566,-163.57039441420307,0.0
145,2024-07-04 09:54,開倉,-1.0,58881.74199694213,-0.05363555154595781,58881.74199694213,-0.05363555154595781,,,,
146,2024-07-15 10:29,平倉,,,,,,61825.829096789246,-0.05363555154595781,-160.90798237223248,0.0
147,2024-07-15 10:29,開倉,1.0,62250.1081523265,0.05000823298236613,62250.1081523265,0.05000823298236613,,,,
148,2024-07-27 21:09,平倉,,,,,,68475.11896755914,0.05000823298236613,307.877471463078,0.0
149,2024-07-27 21:09,開倉,1.0,68538.84672274276,0.04676803722253238,68538.84672274276,0.04676803722253238,,,,
150,2024-08-01 04:19,平倉,,,,,,65111.904386605616,0.04676803722253238,-163.31652270391677,0.0
151,2024-08-01 04:19,開倉,-1.0,64739.713950000005,-0.04870662623562455,64739.713950000005,-0.04870662623562455,,,,
152,2024-08-05 01:19,平倉,,,,,,58265.742555000004,-0.04870662623562455,311.8567266414296,0.0
153,2024-08-05 01:19,開倉,-1.0,58226.97195,-0.055760469430478965,58226.97195,-0.055760469430478965,,,,
154,2024-08-05 14:09,平倉,,,,,,52404.274755,-0.055760469430478965,321.10488932634104,0.0
155,2024-08-05 14:09,開倉,-1.0,52024.64787198571,-0.06425889894993411,52024.64787198571,-0.06425889894993411,,,,
156,2024-08-05 23:39,平倉,,,,,,54625.880265584994,-0.06425889894993411,-170.3282237865778,0.0
157,2024-08-06 00:24,開倉,1.0,55201.96860045487,0.0596947423549878,55201.96860045487,0.0596947423549878,,,,
158,2024-08-09 05:59,平倉,,,,,,60722.165460500364,0.0596947423549878,325.90193528682687,0.0
159,2024-08-09 05:59,開倉,1.0,61202.97573181852,0.055439898442791,61202.97573181852,0.055439898442791,,,,
160,2024-08-12 15:14,平倉,,,,,,58142.8269452276,0.055439898442791,-172.877770369451,0.0
161,2024-08-12 15:14,開倉,-1.0,58027.671650000004,-0.05752183180108529,58027.67165000001,-0.05752183180108529,,,,
162,2024-08-14 00:49,平倉,,,,,,60929.0552325,-0.05752183180108529,-170.0638634930317,0.0
163,2024-08-14 00:49,開倉,1.0,60992.080799999996,0.053943934760212295,60992.080799999996,0.053943934760212295,,,,
164,2024-08-15 15:24,平倉,,,,,,57942.47675999999,0.053943934760212295,-167.63328656442673,0.0
165,2024-08-15 15:24,開倉,-1.0,57878.67514763894,-0.05592041403434245,57878.67514763894,-0.05592041403434245,,,,
166,2024-08-20 09:04,平倉,,,,,,60772.60890502089,-0.05592041403434245,-164.9047434048734,0.0
167,2024-08-20 09:04,開倉,1.0,60862.43988427617,0.05241888994157361,60862.43988427617,0.05241888994157361,,,,
168,2024-09-01 13:39,平倉,,,,,,57819.31789006236,0.05241888994157361,-162.54790135445185,0.0
169,2024-09-01 13:39,開倉,-1.0,57754.3084,-0.0543407563769579,57754.3084,-0.0543407563769579,,,,
170,2024-09-17 23:04,平倉,,,,,,60642.02382,-0.0543407563769579,-159.90213228656455,0.0
171,2024-09-17 23:04,開倉,1.0,60719.86010519376,0.05094804492159147,60719.86010519376,0.05094804492159147,,,,
172,2024-10-15 21:49,平倉,,,,,,66791.84611571312,0.05094804492159147,305.95290205091624,0.0
173,2024-10-15 21:49,開倉,1.0,66850.04944822383,0.04764977662866003,66850.04944822383,0.04764977662866003,,,,
174,2024-10-30 03:14,平倉,,,,,,73535.05439304622,0.04764977662866003,315.0350634660695,0.0
175,2024-10-30 03:14,開倉,1.0,73608.38201087639,0.044559432071709426,73608.38201087639,0.044559432071709426,,,,
176,2024-11-01 04:54,平倉,,,,,,69927.96291033256,0.044559432071709426,-167.11333521932082,0.0
177,2024-11-01 04:54,開倉,-1.0,69790.68730632681,-0.04623196275243187,69790.68730632681,-0.04623196275243187,,,,
178,2024-11-06 11:04,平倉,,,,,,73280.22167164316,-0.04623196275243187,-164.39325523384827,0.0
179,2024-11-06 11:04,開倉,1.0,73940.63760174942,0.04301350513269467,73940.63760174942,0.04301350513269467,,,,
180,2024-11-11 06:24,平倉,,,,,,81334.70136192438,0.04301350513269467,314.54610890526004,0.0
181,2024-11-11 06:24,開倉,1.0,81380.68116160801,0.040241209127780314,81380.68116160801,0.040241209127780314,,,,
182,2024-11-12 07:14,平倉,,,,,,89518.74927776882,0.040241209127780314,323.8833582480042,0.0
183,2024-11-12 07:14,開倉,1.0,89622.28874999999,0.037625356890515896,89622.28874999999,0.037625356890515896,,,,
184,2024-11-22 03:14,平倉,,,,,,98584.51762500001,0.037625356890515896,333.49778229684233,0.0
185,2024-11-22 03:14,開倉,1.0,98839.65011234242,0.03512932264504682,98839.65011234242,0.03512932264504682,,,,
186,2024-11-26 05:59,平倉,,,,,,93897.6676067253,0.03512932264504682,-176.9070594069749,0.0
187,2024-11-26 05:59,開倉,-1.0,93764.9377873654,-0.036427837771951646,93764.9377873654,-0.036427837771951646,,,,
188,2024-11-29 23:14,平倉,,,,,,98453.18467673367,-0.036427837771951646,-174.0275683660587,0.0
189,2024-11-29 23:14,開倉,1.0,98635.29299999999,0.03413420113623974,98635.29299999999,0.03413420113623974,,,,
190,2024-12-03 22:34,平倉,,,,,,93703.52835,0.03413420113623974,-171.5403416035711,0.0
191,2024-12-03 23:04,開倉,1.0,95629.5909,0.034668652931167436,95629.5909,0.034668652931167436,,,,
192,2024-12-16 08:29,平倉,,,,,,105192.54999,0.034668652931167436,327.8880256796151,0.0
193,2024-12-16 08:29,開倉,1.0,105284.37654309138,0.03242422854992316,105284.37654309138,0.03242422854992316,,,,
194,2024-12-19 09:59,平倉,,,,,,100020.1577159368,0.03242422854992316,-173.93131084184927,0.0
195,2024-12-19 09:59,開倉,-1.0,99733.8895702595,-0.033671596886725705,99733.8895702595,-0.033671596886725705,,,,
196,2024-12-31 00:04,平倉,,,,,,91966.99350000001,-0.033671596886725705,257.9040704197778,0.0
